mean_fitness,max_fitness
3.7962463118133343,74.28825960494382
7.553671517580649,84.16159820093083
10.010786229685895,84.16159820093083
10.54713288315758,88.14107593472451
10.629441247445108,88.14107593472451
12.224586118819763,88.14107593472451
10.894798030852572,88.14107593472451
11.911391688904654,88.14107593472451
11.09187735143748,88.14107593472451
11.612387662073859,88.14107593472451
11.765726655684078,88.75755590630632
12.825815945794938,88.75755590630632
13.094126734649388,89.2574121078107
13.351428716887925,89.2574121078107
13.333287792835565,90.63869752242704
13.958368219036911,90.63869752242704
14.466188424062283,90.63869752242704
14.473351492541353,90.63869752242704
15.04842331013325,90.63869752242704
15.67227060336862,90.63869752242704
17.28230409653672,90.63869752242704
18.57267855331854,90.63869752242704
18.653940228709192,90.63869752242704
18.774946176154966,90.63869752242704
18.173564083535762,90.63869752242704
17.675966581264166,90.63869752242704
18.922384236528508,90.63869752242704
17.215978076217333,90.63869752242704
17.88728336924541,90.63869752242704
17.279830264385108,90.63869752242704
17.98343816160326,90.63869752242704
19.871121586300823,90.63869752242704
18.40627691951541,90.63869752242704
16.725755123749057,90.63869752242704
17.449093053099308,91.00289068006609
18.087446816256335,91.00289068006609
18.843886237359794,91.00289068006609
19.25253807559447,91.00289068006609
19.32600655975121,91.00289068006609
19.748613968618805,91.00289068006609
19.99142961913692,91.00289068006609
18.128659544323018,91.00289068006609
18.008550400801404,91.00289068006609
18.901841621981127,91.00289068006609
19.275674742664616,91.00289068006609
18.681614960514292,91.00289068006609
18.889048263761044,91.00289068006609
18.261330394934024,91.00289068006609
19.99514649456351,91.00289068006609
20.201601421283222,91.00289068006609
